group,ticker,mapped_cusip,report_date,shares_held_total,value_usd_thousands_total,shares_outstanding
BVS,AAPL,037833100,2013-06-30,63964616,25346521,938649000
BVS,AAPL,037833100,2013-09-30,63684370,30361529,908497000
BVS,AAPL,037833100,2013-12-31,63233534,35478810,899738000
BVS,AAPL,037833100,2014-03-31,60095703,32255776,891989000
BVS,AAPL,037833100,2014-06-30,404130894,37555883,861381000
BVS,AAPL,037833100,2014-09-30,402715040,40573542,5987867000
BVS,AAPL,037833100,2014-12-31,408309401,45069195,5864840000
BVS,AAPL,037833100,2015-03-31,402006859,50021705,5824748000
BVS,AAPL,037833100,2015-06-30,158808773,19918590,5761030000
BVS,AAPL,037833100,2015-09-30,149357216,16474101,5702722000
BVS,AAPL,037833100,2015-12-31,366030318,38528344,5575331000
BVS,AAPL,037833100,2016-03-31,371573141,40497763,5544583000
BVS,AAPL,037833100,2016-06-30,361729367,34581356,5477425000
BVS,AAPL,037833100,2016-09-30,366585497,41442487,5388443000
BVS,AAPL,037833100,2016-12-31,365946336,42383926,5332313000
BVS,AAPL,037833100,2017-03-31,232260474,33366541,5246540000
BVS,AAPL,037833100,2017-06-30,226261358,32586162,5213840000
BVS,AAPL,037833100,2017-09-30,215500411,33212921,5165228000
BVS,AAPL,037833100,2017-12-31,222262805,37613549,5134312000
BVS,AAPL,037833100,2018-03-31,209989130,35231973,5074013000
BVS,AAPL,037833100,2018-06-30,210847913,39030046,4915138000
BVS,AAPL,037833100,2018-09-30,210017538,47409349,4829926000
BVS,AAPL,037833100,2018-12-31,199768308,31511453,4745398000
BVS,AAPL,037833100,2019-03-31,207808589,39473241,4715280000
BVS,AAPL,037833100,2019-06-30,203260240,40229267,4601075000
BVS,AAPL,037833100,2019-09-30,197793807,44299879,4519180000
BVS,AAPL,037833100,2019-12-31,196067158,57575121,4443265000
BVS,AAPL,037833100,2020-03-31,507783435,129124250,4375480000
BVS,AAPL,037833100,2020-06-30,193174774,70470158,4334335000
BVS,AAPL,037833100,2020-09-30,1920339260,222394489,4275634000
BVS,AAPL,037833100,2020-12-31,699229126,92780713,17001802000
BVS,AAPL,037833100,2021-03-31,681159272,83203606,16788096000
BVS,AAPL,037833100,2021-06-30,678286777,92898158,16687631000
BVS,AAPL,037833100,2021-09-30,1858629051,262996011,16530166000
