group,ticker,mapped_cusip,report_date,shares_or_principal_consolidated,value_usd_thousands_consolidated,consolidation_method,selected_filer_cik,selected_accession,selected_filing_date,shares_outstanding
StateStreet,AAPL,037833100,2013-06-30,37297366,14772736,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-13-005634,2013-08-08,938649000
StateStreet,AAPL,037833100,2013-09-30,38089246,18159054,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-13-008998,2013-11-12,908497000
StateStreet,AAPL,037833100,2013-12-31,38150421,21406578,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-14-001215,2014-02-06,899738000
StateStreet,AAPL,037833100,2014-03-31,35548905,19080528,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-14-006277,2014-05-15,891989000
StateStreet,AAPL,037833100,2014-06-30,241237839,22418232,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-14-008382,2014-08-12,861381000
StateStreet,AAPL,037833100,2014-09-30,242255909,24407285,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-14-011410,2014-11-12,5987867000
StateStreet,AAPL,037833100,2014-12-31,245661655,27116137,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-15-001420,2015-02-11,5864840000
StateStreet,AAPL,037833100,2015-03-31,237009682,29491106,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-15-004225,2015-05-15,5824748000
StateStreet,AAPL,037833100,2015-12-31,217455423,22889351,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-16-000421,2016-02-16,5575331000
StateStreet,AAPL,037833100,2016-03-31,215644530,23503104,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-16-016545,2016-05-20,5544583000
StateStreet,AAPL,037833100,2016-06-30,209011754,19981552,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-16-018963,2016-08-12,5477425000
StateStreet,AAPL,037833100,2016-09-30,215438574,24355327,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-000223,2017-01-13,5388443000
StateStreet,AAPL,037833100,2016-12-31,219739579,25450260,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-001039,2017-02-09,5332313000
StateStreet,AAPL,037833100,2017-03-31,219787104,31574616,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-005541,2017-05-15,5246540000
StateStreet,AAPL,037833100,2017-06-30,212361715,30584335,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-008647,2017-08-14,5213840000
StateStreet,AAPL,037833100,2017-09-30,206447491,31817685,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-011534,2017-11-14,5165228000
StateStreet,AAPL,037833100,2017-12-31,208739070,35324928,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-18-001640,2018-02-14,5134312000
StateStreet,AAPL,037833100,2018-03-31,197194075,33085219,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-18-006787,2018-05-15,5074013000
StateStreet,AAPL,037833100,2018-06-30,191494434,35447524,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-18-011092,2018-08-14,4915138000
StateStreet,AAPL,037833100,2018-09-30,192527470,43461141,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-18-014086,2018-11-09,4829926000
StateStreet,AAPL,037833100,2018-12-31,185419773,29248115,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-19-000024,2019-02-12,4745398000
StateStreet,AAPL,037833100,2019-03-31,190650277,36214020,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-19-000415,2019-05-15,4715280000
StateStreet,AAPL,037833100,2019-06-30,187085416,37027946,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-19-000529,2019-08-14,4601075000
StateStreet,AAPL,037833100,2019-09-30,184232445,41262541,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-19-000629,2019-11-14,4519180000
StateStreet,AAPL,037833100,2019-12-31,182854781,53695306,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-20-000012,2020-02-06,4443265000
StateStreet,AAPL,037833100,2020-03-31,180558954,45914336,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-20-000860,2020-06-19,4375480000
StateStreet,AAPL,037833100,2020-06-30,177264368,64666041,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-20-000921,2020-08-14,4334335000
StateStreet,AAPL,037833100,2020-09-30,672444836,77875836,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-20-000992,2020-11-10,4275634000
StateStreet,AAPL,037833100,2020-12-31,638166552,84678320,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-21-000441,2021-02-16,17001802000
StateStreet,AAPL,037833100,2021-03-31,622994241,76098747,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-21-000609,2021-07-09,16788096000
StateStreet,AAPL,037833100,2021-06-30,622579947,85268550,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-21-000640,2021-08-16,16687631000
StateStreet,AAPL,037833100,2021-09-30,622163541,88036141,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-21-000697,2021-11-15,16530166000
StateStreet,AAPL,037833100,2021-12-31,633115246,112422274,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-22-000401,2022-02-14,16406397000
StateStreet,AAPL,037833100,2022-03-31,613852274,107184746,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-22-000509,2022-05-16,16319441000
StateStreet,AAPL,037833100,2022-06-30,598178524,81782968,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-22-000593,2022-08-15,16185181000
StateStreet,AAPL,037833100,2022-09-30,591543874,81751363,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-22-000636,2022-11-15,16070752000
StateStreet,AAPL,037833100,2022-12-31,586857405,76250382632,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-23-000581,2023-05-15,15908118000
StateStreet,AAPL,037833100,2023-03-31,576281774,95028548353,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-23-000580,2023-05-15,15821946000
StateStreet,AAPL,037833100,2023-06-30,578897858,112288817516,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-23-000666,2023-08-14,15728702000
StateStreet,AAPL,037833100,2023-09-30,569291690,97468430245,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-23-000703,2023-11-14,15634232000
StateStreet,AAPL,037833100,2023-12-31,586052057,112832602534,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-24-000484,2024-02-14,15552752000
StateStreet,AAPL,037833100,2024-03-31,588590779,100931546783,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-24-000592,2024-05-15,15441881000
StateStreet,AAPL,037833100,2024-06-30,528075179,111221789404,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-24-000681,2024-08-14,15334082000
StateStreet,AAPL,037833100,2024-09-30,584010284,136074371716,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-24-000933,2024-11-14,15204137000
StateStreet,AAPL,037833100,2024-12-31,595501507,149132827414,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-25-000123,2025-02-14,15115823000
StateStreet,AAPL,037833100,2025-03-31,596025766,132395203402,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-25-000351,2025-05-15,15022073000
StateStreet,AAPL,037833100,2025-06-30,601249995,123358461474,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-25-000521,2025-08-14,14935826000
StateStreet,AAPL,037833100,2025-09-30,597501113,152141708403,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-25-000651,2025-11-14,14840390000
StateStreet,AMZN,023135106,2013-06-30,14350930,3985115,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-13-005634,2013-08-08,455242694
StateStreet,AMZN,023135106,2013-09-30,15119864,4727072,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-13-008998,2013-11-12,456883519
StateStreet,AMZN,023135106,2013-12-31,15036843,5996537,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-14-001215,2014-02-06,457733620
StateStreet,AMZN,023135106,2014-03-31,14202874,4779554,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-14-006277,2014-05-15,459264535
StateStreet,AMZN,023135106,2014-06-30,14339541,4657200,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-14-008382,2014-08-12,460167404
StateStreet,AMZN,023135106,2014-09-30,14989307,4833141,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-14-011410,2014-11-12,462036113
StateStreet,AMZN,023135106,2014-12-31,15930517,4944034,MAX_ACROSS_FILER_CIKS,0000093751,0000950123-15-001420,2015-02-11,463006452
StateStreet,AMZN,023135106,2015-03-31,15493538,5765149,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-15-004225,2015-05-15,464383939
StateStreet,AMZN,023135106,2015-12-31,15243679,10303052,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-16-000421,2016-02-16,468762005
StateStreet,AMZN,023135106,2016-03-31,15024746,8919293,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-16-016545,2016-05-20,470842035
StateStreet,AMZN,023135106,2016-06-30,14844722,10623184,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-16-018963,2016-08-12,471827960
StateStreet,AMZN,023135106,2016-09-30,15808837,13236896,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-000223,2017-01-13,474073542
StateStreet,AMZN,023135106,2016-12-31,16357782,12266213,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-001039,2017-02-09,475166527
StateStreet,AMZN,023135106,2017-03-31,16544538,14667392,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-005541,2017-05-15,477170618
StateStreet,AMZN,023135106,2017-06-30,16228565,15709251,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-008647,2017-08-14,477975499
StateStreet,AMZN,023135106,2017-09-30,15737526,15129263,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-17-011534,2017-11-14,480379517
StateStreet,AMZN,023135106,2017-12-31,15920952,18619093,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-18-001640,2018-02-14,481872175
StateStreet,AMZN,023135106,2018-03-31,15142670,21916591,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-18-006787,2018-05-15,484107183
StateStreet,AMZN,023135106,2018-06-30,15227463,25883643,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-18-011092,2018-08-14,485226904
StateStreet,AMZN,023135106,2018-09-30,15848884,31745322,MAX_ACROSS_FILER_CIKS,0000093751,0001628280-18-014086,2018-11-09,487741189
StateStreet,AMZN,023135106,2018-12-31,15773900,23692139,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-19-000024,2019-02-12,488968628
StateStreet,AMZN,023135106,2019-03-31,16536263,29446950,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-19-000415,2019-05-15,491202890
StateStreet,AMZN,023135106,2019-06-30,16567448,31372617,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-19-000529,2019-08-14,492331776
StateStreet,AMZN,023135106,2019-09-30,16705952,29000029,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-19-000629,2019-11-14,494656015
StateStreet,AMZN,023135106,2019-12-31,16906057,31239688,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-20-000012,2020-02-06,495797220
StateStreet,AMZN,023135106,2020-03-31,16267474,31717019,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-20-000860,2020-06-19,497810444
StateStreet,AMZN,023135106,2020-06-30,16344836,45092460,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-20-000921,2020-08-14,498776032
StateStreet,AMZN,023135106,2020-09-30,16344982,51465935,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-20-000992,2020-11-10,500889651
StateStreet,AMZN,023135106,2020-12-31,15954486,51962644,MAX_ACROSS_FILER_CIKS,0000093751,0000093751-21-000441,2021-02-16,501751183
