group,ticker,mapped_cusip,report_date,shares_or_principal_consolidated,value_usd_thousands_consolidated,consolidation_method,selected_filer_cik,selected_accession,selected_filing_date,shares_outstanding
BlackRock,AAPL,037833100,2013-06-30,25378225,10063228,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-13-004120,2013-08-13,938649000
BlackRock,AAPL,037833100,2013-09-30,24385775,11625918,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-13-004307,2013-11-12,908497000
BlackRock,AAPL,037833100,2013-12-31,23924864,13422327,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-14-002233,2014-02-12,899738000
BlackRock,AAPL,037833100,2014-03-31,24331422,13059647,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-14-002323,2014-05-02,891989000
BlackRock,AAPL,037833100,2014-06-30,161154023,14976043,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-14-002506,2014-08-06,861381000
BlackRock,AAPL,037833100,2014-09-30,158746999,15993760,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-14-002625,2014-10-29,5987867000
BlackRock,AAPL,037833100,2014-12-31,154653443,17070647,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-15-002005,2015-02-09,5864840000
BlackRock,AAPL,037833100,2015-03-31,156981274,19533180,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-15-002128,2015-05-13,5824748000
BlackRock,AAPL,037833100,2015-06-30,150984970,18937290,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-15-002173,2015-08-07,5761030000
BlackRock,AAPL,037833100,2015-09-30,148878516,16421300,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-15-002212,2015-11-13,5702722000
BlackRock,AAPL,037833100,2015-12-31,146794263,15451564,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-16-002277,2016-02-11,5575331000
BlackRock,AAPL,037833100,2016-03-31,146608950,15978909,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-16-002288,2016-05-10,5544583000
BlackRock,AAPL,037833100,2016-06-30,143939462,13760613,MAX_ACROSS_FILER_CIKS,0000913414,0001034551-16-000007,2016-08-10,5477425000
BlackRock,AAPL,037833100,2016-09-30,143177947,16186267,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-16-002329,2016-11-08,5388443000
BlackRock,AAPL,037833100,2016-12-31,144750804,16765038,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-17-000008,2017-02-10,5332313000
BlackRock,AAPL,037833100,2017-03-31,5718583,821532,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-17-000069,2017-05-12,5246540000
BlackRock,AAPL,037833100,2017-06-30,7516850,1082577,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-17-000071,2017-08-10,5213840000
BlackRock,AAPL,037833100,2017-09-30,7592385,1170138,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-17-000128,2017-11-14,5165228000
BlackRock,AAPL,037833100,2017-12-31,7781980,1316944,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-18-000003,2018-02-09,5134312000
BlackRock,AAPL,037833100,2018-03-31,7197610,1207615,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-18-000035,2018-05-09,5074013000
BlackRock,AAPL,037833100,2018-06-30,14392146,2664130,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-18-000066,2018-08-09,4915138000
BlackRock,AAPL,037833100,2018-09-30,12779814,2884915,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-18-000095,2018-11-09,4829926000
BlackRock,AAPL,037833100,2018-12-31,12952508,2043129,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-19-000003,2019-02-08,4745398000
BlackRock,AAPL,037833100,2019-03-31,12960239,2461797,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-19-000034,2019-05-09,4715280000
BlackRock,AAPL,037833100,2019-06-30,12118034,2398401,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-19-000100,2019-08-23,4601075000
BlackRock,AAPL,037833100,2019-09-30,12353089,2766721,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-19-000103,2019-11-08,4519180000
BlackRock,AAPL,037833100,2019-12-31,12021464,3530103,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-20-000006,2020-02-13,4443265000
BlackRock,AAPL,037833100,2020-03-31,11316523,2877679,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-20-000038,2020-05-01,4375480000
BlackRock,AAPL,037833100,2020-06-30,11061216,4035132,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-20-000070,2020-08-14,4334335000
BlackRock,AAPL,037833100,2020-09-30,42896399,4967832,MAX_ACROSS_FILER_CIKS,0001364742,0001426459-20-000005,2020-11-06,4275634000
BlackRock,AAPL,037833100,2020-12-31,43047419,5711962,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-21-000004,2021-02-05,17001802000
BlackRock,AAPL,037833100,2021-03-31,40848740,4989674,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-21-000038,2021-05-07,16788096000
BlackRock,AAPL,037833100,2021-06-30,38586878,5284859,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-21-000071,2021-08-11,16687631000
BlackRock,AAPL,037833100,2021-09-30,37872761,5358996,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-21-000104,2021-11-09,16530166000
BlackRock,AAPL,037833100,2021-12-31,35844434,6364896,MAX_ACROSS_FILER_CIKS,0001364742,0000834237-22-008654,2022-02-10,16406397000
BlackRock,AAPL,037833100,2022-03-31,33812018,5903916,MAX_ACROSS_FILER_CIKS,0001364742,0000834237-22-009651,2022-05-12,16319441000
BlackRock,AAPL,037833100,2022-06-30,32237070,4407452,MAX_ACROSS_FILER_CIKS,0001364742,0000834237-22-010526,2022-08-12,16185181000
BlackRock,AAPL,037833100,2022-09-30,31858811,4402888,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-22-000004,2022-11-14,16070752000
BlackRock,AAPL,037833100,2022-12-31,31471019,4089029499,MAX_ACROSS_FILER_CIKS,0001364742,0000913414-23-000035,2023-02-13,15908118000
BlackRock,AAPL,037833100,2023-03-31,30594003,5044951095,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-23-000015,2023-05-12,15821946000
BlackRock,AAPL,037833100,2023-06-30,30248498,5867301157,MAX_ACROSS_FILER_CIKS,0001364742,0001306550-23-009732,2023-08-11,15728702000
BlackRock,AAPL,037833100,2023-09-30,29118621,4985399101,MAX_ACROSS_FILER_CIKS,0001364742,0001306550-23-010335,2023-11-13,15634232000
BlackRock,AAPL,037833100,2023-12-31,30713789,5913325796,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-24-006999,2024-02-13,15552752000
BlackRock,AAPL,037833100,2024-03-31,30139439,5168311000,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-24-007638,2024-05-10,15441881000
BlackRock,AAPL,037833100,2024-06-30,30099451,6339546370,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-24-008417,2024-08-13,15334082000
BlackRock,AAPL,037833100,2024-09-30,30584935,7126289855,MAX_ACROSS_FILER_CIKS,0002012383,0001426459-24-000006,2024-11-13,15204137000
BlackRock,AAPL,037833100,2024-12-31,28896566,7236278058,MAX_ACROSS_FILER_CIKS,0002012383,0001060021-25-000002,2025-02-07,15115823000
BlackRock,AAPL,037833100,2025-03-31,29571819,6568788154,MAX_ACROSS_FILER_CIKS,0002012383,0001576419-25-000869,2025-05-02,15022073000
BlackRock,AAPL,037833100,2025-06-30,32431262,6653922025,MAX_ACROSS_FILER_CIKS,0002012383,0001060021-25-000120,2025-08-12,14935826000
BlackRock,AAPL,037833100,2025-09-30,32463364,8266146375,MAX_ACROSS_FILER_CIKS,0002012383,0002012383-25-002949,2025-11-12,14840390000
BlackRock,AMZN,023135106,2013-06-30,9536057,2648068,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-13-004120,2013-08-13,455242694
BlackRock,AMZN,023135106,2013-09-30,9530419,2979590,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-13-004307,2013-11-12,456883519
BlackRock,AMZN,023135106,2013-12-31,9424751,3758496,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-14-002233,2014-02-12,457733620
BlackRock,AMZN,023135106,2014-03-31,9515780,3200775,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-14-002323,2014-05-02,459264535
BlackRock,AMZN,023135106,2014-06-30,9556892,3103887,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-14-002506,2014-08-06,460167404
BlackRock,AMZN,023135106,2014-09-30,9630023,3105105,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-14-002625,2014-10-29,462036113
BlackRock,AMZN,023135106,2014-12-31,9685394,3005862,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-15-002005,2015-02-09,463006452
BlackRock,AMZN,023135106,2015-03-31,9779129,3638814,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-15-002128,2015-05-13,464383939
BlackRock,AMZN,023135106,2015-06-30,9723117,4220708,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-15-002173,2015-08-07,465680957
BlackRock,AMZN,023135106,2015-09-30,9848619,5041410,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-15-002212,2015-11-13,467710218
BlackRock,AMZN,023135106,2015-12-31,9810863,6631064,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-16-002277,2016-02-11,468762005
BlackRock,AMZN,023135106,2016-03-31,9968586,5917751,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-16-002288,2016-05-10,470842035
BlackRock,AMZN,023135106,2016-06-30,10080377,7213719,MAX_ACROSS_FILER_CIKS,0000913414,0001034551-16-000007,2016-08-10,471827960
BlackRock,AMZN,023135106,2016-09-30,10317381,8638846,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-16-002329,2016-11-08,474073542
BlackRock,AMZN,023135106,2016-12-31,10490760,7866706,MAX_ACROSS_FILER_CIKS,0000913414,0001086364-17-000008,2017-02-10,475166527
BlackRock,AMZN,023135106,2017-03-31,474444,420614,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-17-000069,2017-05-12,477170618
BlackRock,AMZN,023135106,2017-06-30,611137,591581,MAX_ACROSS_FILER_CIKS,0001364742,0001086364-17-000071,2017-08-10,477975499
