group,ticker,mapped_cusip,report_date,shares_or_principal_consolidated,value_usd_thousands_consolidated,consolidation_method,selected_filer_cik,selected_accession,selected_filing_date,shares_outstanding
Vanguard,AAPL,037833100,2013-06-30,1289025,510557,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-13-006181,2013-08-13,938649000
Vanguard,AAPL,037833100,2013-09-30,1209349,576557,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-13-008549,2013-11-07,908497000
Vanguard,AAPL,037833100,2013-12-31,1158249,649905,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-14-001756,2014-02-12,899738000
Vanguard,AAPL,037833100,2014-03-31,215376,115601,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-14-005578,2014-05-13,891989000
Vanguard,AAPL,037833100,2014-06-30,1739032,161608,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-14-008218,2014-08-11,861381000
Vanguard,AAPL,037833100,2014-09-30,1712132,172497,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-14-011471,2014-11-12,5987867000
Vanguard,AAPL,037833100,2014-12-31,7994303,882411,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-15-001662,2015-02-12,5864840000
Vanguard,AAPL,037833100,2015-03-31,8015903,997419,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-15-006550,2015-05-15,5824748000
Vanguard,AAPL,037833100,2015-06-30,7823803,981300,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-15-008811,2015-08-13,5761030000
Vanguard,AAPL,037833100,2015-09-30,478700,52801,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-15-011453,2015-11-12,5702722000
Vanguard,AAPL,037833100,2015-12-31,1780632,187429,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-16-013563,2016-02-08,5575331000
Vanguard,AAPL,037833100,2016-03-31,9319661,1015750,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-16-016978,2016-05-13,5544583000
Vanguard,AAPL,037833100,2016-06-30,8778151,839191,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-16-019102,2016-08-10,5477425000
Vanguard,AAPL,037833100,2016-09-30,7968976,900893,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-16-022127,2016-11-14,5388443000
Vanguard,AAPL,037833100,2016-12-31,1455953,168628,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-17-002379,2017-02-14,5332313000
Vanguard,AAPL,037833100,2017-03-31,6754787,970393,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-17-004736,2017-05-12,5246540000
Vanguard,AAPL,037833100,2017-06-30,6382793,919250,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-17-008227,2017-08-24,5213840000
Vanguard,AAPL,037833100,2017-09-30,1460535,225098,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-17-010861,2017-11-14,5165228000
Vanguard,AAPL,037833100,2017-12-31,5741755,971677,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-18-002112,2018-02-14,5134312000
Vanguard,AAPL,037833100,2018-03-31,5597445,939139,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-18-005610,2018-05-15,5074013000
Vanguard,AAPL,037833100,2018-06-30,4961333,918392,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-18-008557,2018-08-14,4915138000
Vanguard,AAPL,037833100,2018-09-30,4710254,1063293,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-18-012369,2018-12-13,4829926000
Vanguard,AAPL,037833100,2018-12-31,1396027,220209,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-19-001986,2019-02-14,4745398000
Vanguard,AAPL,037833100,2019-03-31,4198073,797424,MAX_ACROSS_FILER_CIKS,0000102909,0001144204-19-026247,2019-05-15,4715280000
Vanguard,AAPL,037833100,2019-06-30,4056790,802920,MAX_ACROSS_FILER_CIKS,0000102909,0001144204-19-039761,2019-08-14,4601075000
Vanguard,AAPL,037833100,2019-09-30,1208273,270617,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-19-063765,2019-11-14,4519180000
Vanguard,AAPL,037833100,2019-12-31,1190913,349712,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-20-020869,2020-02-14,4443265000
Vanguard,AAPL,037833100,2020-03-31,315907958,80332235,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-20-062244,2020-05-15,4375480000
Vanguard,AAPL,037833100,2020-06-30,4849190,1768985,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-20-095098,2020-08-14,4334335000
Vanguard,AAPL,037833100,2020-09-30,1204998025,139550821,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-20-125446,2020-11-16,4275634000
Vanguard,AAPL,037833100,2020-12-31,18015155,2390431,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-21-021334,2021-02-12,17001802000
Vanguard,AAPL,037833100,2021-03-31,17316291,2115185,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-21-066511,2021-05-14,16788096000
Vanguard,AAPL,037833100,2021-06-30,17119952,2344749,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-21-104704,2021-08-13,16687631000
Vanguard,AAPL,037833100,2021-09-30,1198592749,169600874,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-21-137530,2021-11-12,16530166000
Vanguard,AAPL,037833100,2021-12-31,1196152755,212400845,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-22-021622,2022-02-14,16406397000
Vanguard,AAPL,037833100,2022-03-31,1206772307,210714513,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-22-059997,2022-05-13,16319441000
Vanguard,AAPL,037833100,2022-06-30,1213535914,165914630,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-22-089759,2022-08-12,16185181000
Vanguard,AAPL,037833100,2022-09-30,1209157467,167105562,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-22-117903,2022-11-14,16070752000
Vanguard,AAPL,037833100,2022-12-31,13155043,1709234737,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-23-018441,2023-02-10,15908118000
Vanguard,AAPL,037833100,2023-03-31,1245490934,205381455017,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-23-081271,2023-07-14,15821946000
Vanguard,AAPL,037833100,2023-06-30,1241193826,240754366429,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-23-090886,2023-08-14,15728702000
Vanguard,AAPL,037833100,2023-09-30,1237059079,211796884916,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-23-126756,2023-12-18,15634232000
Vanguard,AAPL,037833100,2023-12-31,11007691,2119310748,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-24-032991,2024-03-11,15552752000
Vanguard,AAPL,037833100,2024-03-31,10882587,1866146019,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-24-059892,2024-05-10,15441881000
Vanguard,AAPL,037833100,2024-06-30,10893411,2294370225,MAX_ACROSS_FILER_CIKS,0000102909,0001104659-24-088892,2024-08-13,15334082000
Vanguard,AAPL,037833100,2024-09-30,111,25770,MAX_ACROSS_FILER_CIKS,0000102909,0001752724-24-248565,2024-11-13,15204137000
Vanguard,AAPL,037833100,2024-12-31,113,28297,MAX_ACROSS_FILER_CIKS,0000102909,0001752724-25-022205,2025-02-11,15115823000
Vanguard,AAPL,037833100,2025-03-31,93,20605,MAX_ACROSS_FILER_CIKS,0000102909,0001752724-25-099331,2025-05-09,15022073000
Vanguard,AAPL,037833100,2025-06-30,55,11263,MAX_ACROSS_FILER_CIKS,0000102909,0001752724-25-185843,2025-08-11,14935826000
Vanguard,AAPL,037833100,2025-09-30,23465307,5974971121,MAX_ACROSS_FILER_CIKS,0000102909,0000102909-25-000353,2025-11-07,14840390000
Vanguard,AAPL,037833100,2025-12-31,233,63335,MAX_ACROSS_FILER_CIKS,0000102909,0000102909-26-000031,2026-01-29,14776353000
Vanguard,AMZN,023135106,2013-06-30,501090,139148,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-13-006181,2013-08-13,455242694
Vanguard,AMZN,023135106,2013-09-30,490933,153485,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-13-008549,2013-11-07,456883519
Vanguard,AMZN,023135106,2013-12-31,475063,189450,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-14-001756,2014-02-12,457733620
Vanguard,AMZN,023135106,2014-03-31,87802,29534,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-14-005578,2014-05-13,459264535
Vanguard,AMZN,023135106,2014-06-30,108202,35142,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-14-008218,2014-08-11,460167404
Vanguard,AMZN,023135106,2014-09-30,111902,36082,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-14-011471,2014-11-12,462036113
Vanguard,AMZN,023135106,2014-12-31,515490,159982,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-15-001662,2015-02-12,463006452
Vanguard,AMZN,023135106,2015-03-31,521510,194054,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-15-006550,2015-05-15,464383939
Vanguard,AMZN,023135106,2015-06-30,518630,225132,MAX_ACROSS_FILER_CIKS,0000102909,0000950123-15-008811,2015-08-13,465680957
